门店名称,款式,商品性质,Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售)
嘉定店,中袖短板T恤,停止进货,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,中袖短板T恤,正常补货,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,[未知],停止进货,5,7,,,7,6,,,10,2,,,9,7,,,,,,,,5,,,,,3,2,,,,,,,,,2,4
嘉定店,[未知],新款试货,,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,[未知],正常补货,5,5,,,4,3,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,
嘉定店,长裤,停止进货,,,,,34,35,,,,,,,,,,,,,,,12,11,,,,,,,,,,,,,,,,
嘉定店,长裤,正常补货,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,
嘉定店,长裤,清理,,,,,3,-1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
嘉定店,带帽,停止进货,,,,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,带帽,清理,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,短袖短板T恤,正常补货,13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,短袖短板T恤,停止进货,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,短袖短板T恤,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,长袖,停止进货,12,6,,,,,,,2,2,,,,,,,,,,,,,,,,,7,13,,,,,,,,,,
嘉定店,正常夹克,停止进货,,,,,,,,,,,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,正常夹克,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,9,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,9,停止进货,,,,,3,1,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,
嘉定店,9,正常补货,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,短袖,停止进货,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,短袖,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,短袖,正常补货,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,套头,停止进货,,,,,,,,,3,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,鞋,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,鞋,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
嘉定店,鞋,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
嘉定店,连身,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,套衫短板卫衣,清理,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,套衫短板卫衣,停止进货,,,,,,,,,31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,无领中袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,
嘉定店,正常风衣（外套）,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2
嘉定店,正常风衣（外套）,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
嘉定店,上下套装,停止进货,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,
嘉定店,条纹,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,
嘉定店,中袖,停止进货,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,净色,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,开衫,清理,,,,,,,,,,,,,,,,,,,2,-1,,,,,,,,,,,,,,,,,,
嘉定店,长袖短板T恤,清理,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,有领长袖,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
嘉定店,包,退货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉定店,格子,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
马陆店,[未知],停止进货,5,7,,,7,11,,,2,3,,,5,2,,,,,,,,,,,,,,,,,,,,,,,1,
马陆店,[未知],正常补货,2,2,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,
马陆店,[未知],新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,短袖短板T恤,正常补货,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,短袖短板T恤,停止进货,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,长裤,停止进货,,,,,7,14,,,,,,,,,,,,,,,11,6,,,,,,,,,,,,,,,,
马陆店,长裤,正常补货,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,
马陆店,长裤,清理,,,,,6,6,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
马陆店,长裤,新款试货,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,中袖短板T恤,停止进货,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,中袖短板T恤,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,套衫短板卫衣,停止进货,,,,,,,,,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,套衫短板卫衣,清理,,,,,,,,,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,长袖,停止进货,2,3,,,,,,,1,2,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,
马陆店,长袖,清理,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,9,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,9,停止进货,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
马陆店,9,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,9,清理,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,正常夹克,停止进货,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,正常夹克,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,长袖短板T恤,清理,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,套头,停止进货,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,套头,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,正常风衣（外套）,清理,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,1
马陆店,正常风衣（外套）,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,上下套装,停止进货,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
马陆店,短袖,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,短袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,短袖,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,鞋,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
马陆店,鞋,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
马陆店,套衫短板毛衣,清理,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
马陆店,中袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,中袖,清理,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,带帽,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,带帽,停止进货,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
马陆店,格子,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
澄浏店,短袖短板T恤,正常补货,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,短袖短板T恤,停止进货,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,中袖短板T恤,停止进货,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,套衫短板卫衣,停止进货,,,,,,,,,12,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,套衫短板卫衣,清理,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,[未知],停止进货,,1,,,1,3,,,2,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,
澄浏店,[未知],新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,[未知],正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,长裤,停止进货,,,,,12,6,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,
澄浏店,长裤,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,长裤,新款试货,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,长裤,清理,,,,,10,20,,,,,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,
澄浏店,正常风衣（外套）,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
澄浏店,正常风衣（外套）,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
澄浏店,正常夹克,停止进货,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,正常夹克,清理,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,9,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,9,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,9,停止进货,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,9,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,套头,停止进货,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,套头,清理,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
澄浏店,长袖,停止进货,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
澄浏店,长袖,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,
澄浏店,中袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,带帽,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,短袖,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,短袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,开衫,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,开衫,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄浏店,套衫短板毛衣,清理,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
澄浏店,净色,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
城中店,[未知],正常补货,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
城中店,[未知],停止进货,2,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
城中店,[未知],清理,,,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,[未知],新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,短袖短板T恤,正常补货,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,上下套装,停止进货,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
城中店,长裤,停止进货,,,,,9,5,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
城中店,长裤,清理,,,,,7,6,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,
城中店,长裤,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,中袖短板T恤,停止进货,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,9,停止进货,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,9,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,套头,停止进货,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,套头,清理,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,长袖,停止进货,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,长袖,清理,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,套衫短板卫衣,停止进货,,,,,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,套衫短板卫衣,清理,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,正常夹克,停止进货,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
城中店,无领中袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,正常风衣（外套）,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,正常风衣（外套）,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,带帽,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,鞋,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
城中店,鞋,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,短裙（膝盖以上）,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
城中店,套衫短板毛衣,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,开衫,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,短袖,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,短袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,格子,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
城中店,立领,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,中袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,套衫短板卫衣,停止进货,,,,,,,,,63,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,套衫短板卫衣,清理,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,中袖短板T恤,停止进货,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,中袖短板T恤,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,长裤,停止进货,,,,,25,22,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
博乐店,长裤,正常补货,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
博乐店,长裤,清理,,,,,27,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,长裤,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,[未知],停止进货,5,4,,,2,1,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
博乐店,[未知],正常补货,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,
博乐店,[未知],新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,短袖短板T恤,正常补货,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,短袖短板T恤,停止进货,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,9,停止进货,,,,,3,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
博乐店,9,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,条纹,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,
博乐店,带帽,停止进货,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,正常夹克,停止进货,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,正常夹克,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,短袖,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,短袖,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,短袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,长袖,停止进货,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
博乐店,正常风衣（外套）,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,正常风衣（外套）,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
博乐店,开衫,清理,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
博乐店,开衫,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,无领长袖,停止进货,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,中袖,停止进货,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,上下套装,停止进货,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
博乐店,上下套装,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,长袖短板T恤,停止进货,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,套头,停止进货,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,中袖短板T恤,停止进货,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,套衫短板卫衣,停止进货,,,,,,,,,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,套衫短板卫衣,清理,,,,,,,,,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,正常夹克,停止进货,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,正常夹克,清理,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,上下套装,清理,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
华浦店,上下套装,停止进货,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
华浦店,短袖短板T恤,正常补货,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,短袖短板T恤,停止进货,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,长裤,清理,,,,,9,1,,,,,,,,,,,,,,,9,13,,,,,,,,,,,,,,,,
华浦店,长裤,停止进货,,,,,5,7,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,
华浦店,长裤,正常补货,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,长裤,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,9,新款试货,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
