门店名称,款式,商品性质,Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售)
华浦店,9,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,9,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,[未知],正常补货,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,[未知],停止进货,1,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,[未知],新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,长袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
华浦店,长袖,清理,6,2,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,
华浦店,套头,停止进货,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,套头,清理,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
华浦店,净色,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,套衫短板毛衣,清理,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,
华浦店,开衫,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,短袖,停止进货,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,短袖,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,有领长袖,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,有领长袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,长袖短板T恤,清理,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,条纹,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,
华浦店,立领,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,正常风衣（外套）,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,牛仔,清理,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
华浦店,中袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,中袖短板T恤,停止进货,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,中袖短板T恤,正常补货,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,[未知],停止进货,11,6,,,6,7,,,2,3,,,10,6,,,,,,,,,,,,,6,4,,,,,,,,,1,4
桂林2店,[未知],正常补货,12,12,,,,1,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,
桂林2店,[未知],新款试货,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
桂林2店,正常夹克,停止进货,,,,,,,,,,,,,6,8,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,长裤,停止进货,,,,,32,22,,,,,,,,,,,,,,,11,4,,,,,,,,,,,,,,,,
桂林2店,长裤,清理,,,,,6,5,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,
桂林2店,长裤,正常补货,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
桂林2店,短袖,正常补货,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,短袖,停止进货,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,9,停止进货,,,,,1,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,
桂林2店,9,正常补货,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,9,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,9,清理,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,长袖,停止进货,3,2,,,,,,,,,,,,,,,,,,,,,,,,,12,9,,,,,,,,,,
桂林2店,长袖,清理,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,开衫,停止进货,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,开衫,清理,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,
桂林2店,上下套装,停止进货,,,,,,,,,,,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,
桂林2店,上下套装,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,短袖短板T恤,正常补货,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,短袖短板T恤,停止进货,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,短袖短板T恤,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,鞋,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
桂林2店,鞋,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
桂林2店,围巾,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,围巾,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,袜,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
桂林2店,未定义,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,有领长袖,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,满印,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,正常风衣（外套）,清理,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,正常风衣（外套）,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
桂林2店,套衫短板毛衣,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,套头,停止进货,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,套头,清理,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,套衫短板卫衣,停止进货,,,,,,,,,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,套衫短板卫衣,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,内外套装,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
桂林2店,立领,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,带帽,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,中袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,中裤,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,净色,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,净色,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
桂林2店,无领中袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,条纹,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,9,正常补货,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,9,停止进货,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,9,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,9,清理,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,短袖短板T恤,停止进货,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,短袖短板T恤,正常补货,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,短袖短板T恤,清理,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,短袖短板T恤,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,[未知],停止进货,8,,,,,2,,,,,,,1,2,,,,,,,,,,,,,,1,,,,,,,,,,
沪青店,[未知],正常补货,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,[未知],新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,[未知],清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,长裤,停止进货,,,,,5,10,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,
沪青店,长裤,清理,,,,,,8,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,
沪青店,立领,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,净色,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,
沪青店,无领中袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,
沪青店,套衫短板卫衣,清理,,,,,,,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,套衫短板卫衣,停止进货,,,,,,,,,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,上下套装,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,上下套装,清理,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
沪青店,短袖,停止进货,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,短袖,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,套头,停止进货,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,套头,清理,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,套头,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,中袖,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,中袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,正常风衣（外套）,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,正常风衣（外套）,清理,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,正常夹克,停止进货,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,正常夹克,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,长袖,停止进货,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,
沪青店,长袖,清理,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,有领长袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
沪青店,鞋,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
沪青店,鞋,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,中袖短板T恤,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,带帽,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,套衫短板毛衣,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沪青店,开衫,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,[未知],停止进货,7,8,,,,4,,,3,5,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,
重固店,[未知],正常补货,,4,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,
重固店,[未知],新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,中袖短板T恤,停止进货,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,中袖短板T恤,正常补货,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,短袖短板T恤,正常补货,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,短袖短板T恤,停止进货,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,短袖短板T恤,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,短袖,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,短袖,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,短袖,停止进货,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,长裤,停止进货,,,,,19,23,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,,
重固店,长裤,清理,,,,,3,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
重固店,长裤,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,长袖,停止进货,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,-1,,,,,,,,,,
重固店,长袖,清理,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,正常夹克,停止进货,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,
重固店,正常夹克,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,套衫短板卫衣,清理,,,,,,,,,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,套衫短板卫衣,停止进货,,,,,,,,,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,9,停止进货,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
重固店,中袖,停止进货,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,套头,清理,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,
重固店,套头,停止进货,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,未定义,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,正常风衣（外套）,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
重固店,带帽,停止进货,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,
重固店,带帽,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,开衫,停止进货,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
重固店,开衫,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,内外套装,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
重固店,上下套装,停止进货,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
重固店,条纹,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,,,,,,,,,,
重固店,套衫短板毛衣,清理,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
重固店,长袖短板T恤,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,净色,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,鞋,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重固店,无领中袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
赵巷店,[未知],新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,中袖短板T恤,停止进货,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,中袖短板T恤,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,[未知],停止进货,4,3,,,,,,,,1,,,7,3,,,,,,,,,,,,,1,,,,,,,,,,,2
高跃店,[未知],正常补货,7,9,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
高跃店,[未知],新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,[未知],清理,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,短袖短板T恤,正常补货,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,短袖短板T恤,停止进货,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,立领,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,套衫短板卫衣,停止进货,,,,,,,,,22,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,套衫短板卫衣,清理,,,,,,,,,6,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,长裤,停止进货,,,,,12,16,,,,,,,,,,,,,,,4,6,,,,,,,,,,,,,,,,
高跃店,长裤,正常补货,,,,,2,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
高跃店,长裤,清理,,,,,47,36,,,,,,,,,,,,,,,16,15,,,,,,,,,,,,,,,,
高跃店,长裤,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,长袖,停止进货,,1,,,,,,,1,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,
高跃店,长袖,清理,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
高跃店,宽松风衣（外套）,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,正常夹克,清理,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,
高跃店,正常夹克,停止进货,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,9,清理,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,9,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,套头,清理,,,,,,,,,,2,,,,,,,,,6,45,,,,,,,,,,,,,,,,,,
高跃店,套头,停止进货,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,短袖,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,短袖,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,短袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,长袖短板T恤,清理,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,净色,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,开衫,清理,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,中袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,中袖,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,中袖,清理,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
高跃店,条纹,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,上下套装,停止进货,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
高跃店,中长款面包服羽绒衣,清理,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
高跃店,牛仔,清理,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
高跃店,带帽,清理,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,正常风衣（外套）,清理,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,长裙（膝盖以下）,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
高跃店,修身风衣（外套）,清理,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,打底裤,清理,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,背带长裤,清理,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
高跃店,套衫长板毛衣,清理,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
高跃店,无领长袖,清理,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,短款面包服,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,套衫短板毛衣,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高跃店,短款羽绒衣,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱家店,短袖短板T恤,正常补货,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱家店,短袖短板T恤,停止进货,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
